ID	website	job_function	category_name	category_id	ADD_BY	by_k_means_cluster	is_mutiple
1	JobsDB	Accounting (Accountant)	Accounting (Accountant)	a1	Ting	22	
2	JobsDB	Accounting (Accounting Clerk / Supervisor)	Accounting (Accounting Clerk / Supervisor)	a2	Ting	22	
3	JobsDB	Accounting (Audit)	Accounting (Audit)	a3	Ting	22	
4	JobsDB	Accounting (Chief Accountant)	Accounting (Chief Accountant)	a4	Ting	22	
5	JobsDB	Accounting (Consulting)	Accounting (Consulting)	a5	Ting	22	
6	JobsDB	Accounting (Credit Control)	Accounting (Credit Control)	a6	Ting	16	
7	JobsDB	Accounting (Finance / Accounting Manager)	Accounting (Finance / Accounting Manager)	a7	Ting	16	
8	JobsDB	Accounting (Financial Analyst)	Accounting (Financial Analyst)	a8	Ting	22	
9	JobsDB	Accounting (Financial Controller)	Accounting (Financial Controller)	a9	Ting	22	
10	JobsDB	Accounting (Taxation)	Accounting (Taxation)	a10	Ting	22	
11	JobsDB	Accounting (Treasurer)	Accounting (Treasurer)	a11	Ting	22	
12	JobsDB	Accounting (Others)	Accounting (Others)	a12	Ting	22	
13	JobsDB	Admin & HR (Administration / Operation Manager)	Admin & HR (Administration / Operation Manager)	b1	Ting	0	
14	JobsDB	Admin & HR (Clerical / Admin Staff)	Admin & HR (Clerical / Admin Staff)	b2	Ting	0	
15	JobsDB	Admin & HR (Compensation & Benefits)	Admin & HR (Compensation & Benefits)	b3	Ting	0	
16	JobsDB	Admin & HR (HR Director / Manager)	Admin & HR (HR Director / Manager)	b4	Ting	0	
17	JobsDB	Admin & HR (HR Supporting Staff)	Admin & HR (HR Supporting Staff)	b5	Ting	0	
18	JobsDB	Admin & HR (Personal / Executive Assistant)	Admin & HR (Personal / Executive Assistant)	b6	Ting	0	
19	JobsDB	Admin & HR (Receptionist)	Admin & HR (Receptionist)	b7	Ting	0	
20	JobsDB	Admin & HR (Recruitment / Executive Search)	Admin & HR (Recruitment / Executive Search)	b8	Ting	0	
21	JobsDB	Admin & HR (Secretary)	Admin & HR (Secretary)	b9	Ting	0	
22	JobsDB	Admin & HR (Training & Development)	Admin & HR (Training & Development)	b10	Ting	0	
23	JobsDB	Admin & HR (Others)	Admin & HR (Others)	b11	Ting	0	
24	JobsDB	Banking / Finance (Analyst)	Banking / Finance (Analyst)	c1	Ting	2	
25	JobsDB	Banking / Finance (Asset Management)	Banking / Finance (Asset Management)	c2	Ting	2	
26	JobsDB	Banking / Finance (Corporate Banking)	Banking / Finance (Corporate Banking)	c3	Ting	2	
