ID	incorr_sentence	corr_sentence	word count	wrong1	correct1	wrong2	correct2	wrong3	correct3	wrong4	correct4	wrong5	correct5	wrong6	correct6	src	edits_count	len
1	Its my birthday tomorrow.	It’s my birthday tomorrow.	4	V0	0,1|||It 's											https://www.grantham.edu/blog/6-common-grammatical-mistakes-avoid-cover-letters/	1	0
2	The goal of occupational safety and health program are to foster safe and healthy work environment.	The goal of an occupational safety and health program is to foster a safe and healthy work environment.	18	ArtOrDe	3,3|||an	SVA	8,9|||is	ArtOrDe	11,11|||a							https://en.wikipedia.org/wiki/Occupational_safety_and_health	3	10
3	The research and regulation to occupation safety and health is a relative recent phenomenon.	The research and regulation of occupational safety and health are a relatively recent phenomenon.	14	Prep	4,5|||of	Wform	5,6|||occupational	SVA	9,10|||are	Wform	11,12|||relatively					https://en.wikipedia.org/wiki/Occupational_safety_and_health	4	10
4	Have you stop beating you wife?	Have you stopped beating your wife?	6	Vform	2,3|||stopped	Pform	4,5|||your									https://en.wikipedia.org/wiki/Question	2	0
5	Does the state have the right to censor pronography or restrict tobacco advertising?	Does the state have the right to censor pornography or restrict tobacco advertising?	13	Mec	8,9|||pornography											https://en.wikipedia.org/wiki/Question	1	10
6	The commission sparked public outrage resulted on the Mines Act in 1842.	The commission sparked public outrage which resulted in the Mines Act of 1842.	13	Ssub	5,5|||which	Wci	6,7|||in	Prep	10,11|||of							https://en.wikipedia.org/wiki/Occupational_safety_and_health	3	10
7	This fallow period is shortened if population density grows, require the input of nutrient and some manual pest control.	This fallow period is shortened if population density grows, requiring the input of nutrients and some manual pest control.	19	Vform	10,11|||requiring	Nn	14,15|||nutrients									https://en.wikipedia.org/wiki/Agriculture	2	10
8	Non-meat animals, such as millk cows and egg-producing chickens, also shown significance production increases. 	Non-meat animals, such as milk cows and egg-producing chickens, also showed significant production increases. 	14	Mec	5,6|||milk	Vform	12,13|||showed	Wform	13,14|||significant							https://en.wikipedia.org/wiki/Agriculturee	3	10
9	These system is particularly important in areas where crop production is not feasibly because climate or soil, representing 30–40 million pastoralist.	This system is particularly important in areas where crop production is not feasible because of climate or soil, representing 30–40 million pastoralists.	22	Nn	0,1|||This	Wform	12,13|||feasible	Prep	14,14|||of	Nn	21,22|||pastoralists					https://en.wikipedia.org/wiki/Agriculture	4	20
10	Althoughy there have been periodic initiatives to revive they use, but airships see only niche application since that time. 	Although there have been periodic initiatives to revive their use, airships have seen only niche application since that time. 	19	Mec	0,1|||Although	Pform	8,9|||their	Wci	11,12|||	Vt	13,14|||have seen					https://en.wikipedia.org/wiki/Aviation	4	10
11	Jean-Pierre Blanchard fly the first human-powered dirigible in 1784 and crossed the English Channel at one in 1785.	Jean-Pierre Blanchard flew the first human-powered dirigible in 1784 and crossed the English Channel in one in 1785.	18	Vt	2,3|||flew	Prep	14,15|||in									https://en.wikipedia.org/wiki/Aviation	2	10
