origin,gold,ours,precision,recall,f-score,type
Its my birthday tomorrow .,It 's my birthday tomorrow .,My birthday is tomorrow .,0.0,0.0,0.0,
The goal of occupational safety and health program are to foster safe and healthy work environment .,The goal of an occupational safety and health program is to foster a safe and healthy work environment .,The goal of occupational safety and health programs is to foster a safe and healthy work environment .,0.6666666666666666,0.6666666666666666,0.6666666666666666,
The research and regulation to occupation safety and health is a relative recent phenomenon .,The research and regulation of occupational safety and health are a relatively recent phenomenon .,The research and regulation of occupation safety and health is a relatively recent phenomenon .,1.0,0.5,0.8333333333333334,
Have you stop beating you wife ?,Have you stopped beating your wife ?,Have you stopped beating your wife ?,1.0,1.0,1.0,
Does the state have the right to censor pronography or restrict tobacco advertising ?,Does the state have the right to censor pornography or restrict tobacco advertising ?,Does the state have the right to censor pornography or restrict tobacco advertising ?,1.0,1.0,1.0,
The commission sparked public outrage resulted on the Mines Act in 1842 .,The commission sparked public outrage which resulted in the Mines Act of 1842 .,The commission sparked public outrage that resulted in the Mines Act in 1842 .,0.5,0.3333333333333333,0.45454545454545453,
"This fallow period is shortened if population density grows , require the input of nutrient and some manual pest control .","This fallow period is shortened if population density grows , requiring the input of nutrients and some manual pest control .","This fallow period is shortened if population density grows , requiring the input of nutrient and some manual pest control .",1.0,0.5,0.8333333333333334,
"Non-meat animals , such as millk cows and egg-producing chickens , also shown significance production increases .","Non-meat animals , such as milk cows and egg-producing chickens , also showed significant production increases .","Non-meat animals , such as mills cows and egg-producing chickens , have also shown significant production increases .",0.3333333333333333,0.3333333333333333,0.3333333333333333,
"These system is particularly important in areas where crop production is not feasible because climate or soil , representing 30–40 million pastoralists .","This system is particularly important in areas where crop production is not feasible because of climate or soil , representing 30–40 million pastoralists .","These systems are particularly important in areas where crop production is not feasible because of climate or soil , representing 30–40 million pastoralists .",0.5,0.5,0.5,
"Althoughy there have been periodic initiatives to revive they use , but airships see only niche application since that time .","Although there have been periodic initiatives to revive their use , airships have seen only niche application since that time .","Although there have been periodic initiatives to revive their use , airships have seen only niche applications since that time .",0.8,1.0,0.8333333333333334,
Jean-Pierre Blanchard fly the first human-powered dirigible in 1784 and crossed the English Channel at one in 1785 .,Jean-Pierre Blanchard flew the first human-powered dirigible in 1784 and crossed the English Channel in one in 1785 .,Jean-Pierre Blanchard fly the first human-powered dirigible in 1784 and crossed the English Channel in one in 1785 .,1.0,0.5,0.8333333333333334,
"By the begin of WOWII , many towns and cities had built airports , and there is numerous qualifying pilots available .","By the beginning of World War II , many towns and cities had built airports , and there were numerous qualified pilots available .","By the beginning of WOWII , many towns and cities had built airports , and there were numerous qualifying pilots available .",1.0,0.5,0.8333333333333334,
